Wavelength,Absorbance
400.0064087,0.1164413542
401.0127869,0.1240390092
402.0189819,0.1314087659
402.9862976,0.1381928921
403.9921875,0.1441898793
404.9978943,0.1497722417
406.003418,0.1532504857
407.0087891,0.1557710171
408.0140381,0.1559349298
409.0190735,0.1536365151
409.985321,0.1491939873
410.9900208,0.1427054852
411.9945679,0.1354794055
412.9989014,0.1286743283
414.0031738,0.1192156747
415.0072327,0.1084268317
416.0110779,0.09870836884
417.014801,0.09027189761
418.0183716,0.08056720346
418.9831543,0.0704921782
419.9863586,0.06138448045
420.9893494,0.05394554511
421.9922485,0.0470418185
422.9949646,0.04106872529
423.997467,0.03463564813
424.9997864,0.0302486252
426.0020142,0.025698293
427.0039978,0.02219460905
428.0057983,0.01930409484
429.0074768,0.01715755835
430.0089722,0.01407910604
431.0102234,0.0119944457
432.0113831,0.009831640869
433.0123291,0.009060340934
434.0131226,0.007696995977
435.0136719,0.00621225033
436.0141602,0.005113707855
437.0144043,0.004091176204
438.0144348,0.003271907102
439.0143433,0.002416408854
440.0140381,0.001558565884
441.0135803,0.001668678946
442.0129089,0.0005856764619
443.012085,0.0001220694976
444.0111084,-0.0005101198331
445.0098877,-0.001464589033
446.0085144,-0.002334581921
447.0069885,-0.002367743058
448.005249,-0.003134788014
449.0032959,-0.004251394887
450.0012512,-0.004734118935
450.9989624,-0.005457736552
451.9964905,-0.006521018222
452.993866,-0.00672451267
453.9909973,-0.007934231311
454.9879761,-0.008673348464
455.9847717,-0.008927877992
456.9814148,-0.009869359434
458.0161438,-0.01045122184
459.0123291,-0.01138517354
460.0084229,-0.010883132
461.0042725,-0.01091983728
461.9999084,-0.01176773664
462.9954529,-0.01224807091
463.9907227,-0.01280398667
464.9858093,-0.01253049355
466.019043,-0.01353762951
467.0137329,-0.01305711269
468.0082397,-0.01367977448
469.0026245,-0.01410197187
469.9967346,-0.01415935345
470.9907227,-0.01421066467
471.9844666,-0.0147085255
473.0162659,-0.01444188878
474.009613,-0.01471373066
475.0027771,-0.01495539211
475.9957886,-0.0149177257
476.9885559,-0.01495459117
477.9811707,-0.0151025746
479.0117188,-0.01515482366
480.0039063,-0.0153586613
480.9958801,-0.01585311256
481.9877319,-0.01621186174
483.0174866,-0.01690462045
484.0089722,-0.01565594971
485.0001221,-0.01533772238
485.9911499,-0.01649560779
486.9819641,-0.01607638039
488.0106812,-0.01566109248
489.0010681,-0.01576270536
489.9913025,-0.01644695923
490.9813232,-0.01596281491
492.0091553,-0.01532382891
492.9988098,-0.01529519167
493.9881897,-0.01595298387
495.0154724,-0.01577403955
496.0044556,-0.0159508884
496.9932556,-0.01566838473
497.981842,-0.01552878693
499.0082703,-0.01536111068
499.9964294,-0.01499955729
500.9844055,-0.01465967577
502.0101318,-0.01502346341
502.9976501,-0.01408412959
503.9850464,-0.01399681251
505.0101929,-0.01312462799
505.9971008,-0.0128505826
506.9838562,-0.01246102434
508.0083008,-0.01183363888
508.9945984,-0.01152510103
510.0186157,-0.01118087489
511.0044861,-0.0101367943
511.9902344,-0.009483093396
513.0135498,-0.008502699435
513.9987793,-0.008279820904
514.9838867,-0.008054642007
516.0065308,-0.007251544856
516.9912109,-0.006981001701
518.0134277,-0.006055849604
518.9976196,-0.005353735294
519.9816284,-0.005323818419
521.0031738,-0.005040966906
521.9867554,-0.005058723968
523.0078735,-0.004661649466
523.9910278,-0.004646795802
525.0117188,-0.0048713414
525.9943237,-0.003795335302
527.0145874,-0.004214532208
527.9968262,-0.004746204242
529.0166626,-0.00301423925
529.9984741,-0.003034752794
531.0177612,-0.003285876475
531.9991455,-0.004400250502
533.0180054,-0.00423401501
533.9989624,-0.002931043506
535.017334,-0.003768544877
535.9977417,-0.004711073358
537.0158081,-0.003658542177
537.9957886,-0.004445450846
539.0133057,-0.004827465862
539.9928589,-0.005808570888
541.0098877,-0.004895504564
541.9890137,-0.004098693375
543.0055542,-0.005106516648
543.9842529,-0.004282923415
545.0003662,-0.005416936707
546.0162354,-0.005601119716
546.9942017,-0.004666618071
548.0095215,-0.004468407948
548.9870605,-0.004706208128
550.0020752,-0.004937121645
551.0167236,-0.004909684416
551.9935303,-0.004680600483
553.0076904,-0.00409571873
553.9841309,-0.003604018129
554.9979248,-0.003800262231
556.0113525,-0.004104796331
556.9870605,-0.003170200856
558.0,-0.003013262292
559.0128174,-0.003517340636
559.9877319,-0.003642473137
561.0001221,-0.003733078018
562.012085,-0.004166179802
562.9863281,-0.003870668821
563.9978638,-0.004589936696
565.0092163,-0.005114089232
565.9827881,-0.005677979905
566.9935303,-0.005504258443
568.0040894,-0.005960263778
569.0144043,-0.007247420494
569.9870605,-0.007211778313
570.9968872,-0.007840482518
572.0064697,-0.007979675196
573.015686,-0.009221489541
573.9874268,-0.009711228311
574.9962769,-0.009900280274
576.0048218,-0.01013907045
577.0130615,-0.0104281744
577.9838257,-0.01127365325
578.9916382,-0.0115845874
579.9992065,-0.01241353154
581.0064697,-0.01277769636
582.0135498,-0.01267784648
582.9830322,-0.01400758978
583.989624,-0.01357335877
584.9959106,-0.01398468018
586.0019531,-0.01490156725
587.0076294,-0.01474926248
588.0132446,-0.01454133354
589.0184937,-0.01454263553
589.9862671,-0.01542596985
590.9909668,-0.01454078313
591.9954834,-0.01421772875
592.9997559,-0.01490707044
594.0036621,-0.01532877702
595.0073853,-0.0147248907
596.0108643,-0.01514962409
597.0140991,-0.01412156783
598.0169067,-0.01404643804
598.9824829,-0.01388811693
599.9849243,-0.01385502145
